f,1,2,3,4,5,6
265,0.3393,0.2777,0.1395,0.0624,0.0953,0.0858
266,0.5501,0.1008,0.1426,0.051,0.0832,0.0722
267,0.4944,0.102,0.1692,0.0554,0.0983,0.0807
268,0.1037,0.0495,0.2388,0.2818,0.0794,0.2468
269,0.2537,0.0886,0.3178,0.0708,0.1545,0.1146
270,0.2946,0.3089,0.142,0.0647,0.1003,0.0896
271,0.1361,0.08,0.2031,0.0607,0.4032,0.1169
272,0.5225,0.1007,0.1563,0.053,0.0911,0.0764
273,0.2573,0.0897,0.3124,0.07,0.1569,0.1136
274,0.3075,0.2815,0.1476,0.0682,0.1019,0.0934
275,0.3003,0.297,0.1444,0.0661,0.101,0.0912
276,0.2633,0.1181,0.2194,0.0591,0.2407,0.0995
277,0.1842,0.0804,0.2945,0.06,0.2729,0.1079
278,0.1634,0.0792,0.2204,0.0522,0.3906,0.0942
279,0.3332,0.0998,0.2556,0.0683,0.1376,0.1054
280,0.2337,0.1048,0.233,0.059,0.2683,0.1013
281,0.0804,0.0401,0.194,0.2386,0.069,0.3778
282,0.0693,0.0342,0.2049,0.1244,0.0648,0.5024
283,0.2497,0.1194,0.2139,0.0586,0.2591,0.0993
284,0.157,0.0729,0.2648,0.055,0.3487,0.1016
285,0.3396,0.0996,0.2533,0.0701,0.131,0.1064
286,0.2818,0.3766,0.1218,0.0453,0.1055,0.0691
287,0.1832,0.0865,0.232,0.0552,0.3446,0.0984
288,0.197,0.0762,0.3582,0.1052,0.1148,0.1486
289,0.0877,0.0455,0.1768,0.3027,0.0739,0.3133
290,0.3108,0.2632,0.1529,0.0717,0.104,0.0974
291,0.0789,0.0396,0.1364,0.5387,0.0563,0.1502
292,0.0852,0.0427,0.1458,0.5084,0.0603,0.1577
293,0.1222,0.0704,0.1775,0.0506,0.4831,0.0961
294,0.0794,0.0408,0.1575,0.41,0.0645,0.2478
295,0.1726,0.6335,0.0699,0.0288,0.0535,0.0418
296,0.0896,0.0466,0.1764,0.315,0.0748,0.2977
297,0.1878,0.086,0.2481,0.0569,0.3199,0.1014
298,0.0928,0.0466,0.1558,0.4736,0.0651,0.1662
299,0.2777,0.0917,0.301,0.0737,0.1409,0.115
300,0.0896,0.045,0.1515,0.4879,0.0631,0.1628
301,0.1132,0.0621,0.2118,0.0554,0.4445,0.1131
302,0.2868,0.0947,0.2874,0.0694,0.1512,0.1105
303,0.0966,0.0466,0.2236,0.3001,0.0755,0.2577
304,0.062,0.0316,0.1159,0.5867,0.0479,0.156
305,0.0937,0.0471,0.1565,0.4695,0.0657,0.1674
306,0.0949,0.0459,0.2173,0.313,0.0742,0.2547
307,0.2739,0.0922,0.2999,0.0706,0.1507,0.1127
308,0.2355,0.1135,0.2164,0.0582,0.2768,0.0996
309,0.0906,0.0469,0.1548,0.4511,0.0675,0.189
310,0.0644,0.0324,0.1307,0.533,0.051,0.1884
311,0.0912,0.0458,0.1537,0.4807,0.0641,0.1645
312,0.0631,0.0323,0.1155,0.5905,0.0482,0.1504
313,0.3218,0.265,0.1491,0.069,0.1012,0.0938
314,0.076,0.0381,0.132,0.553,0.0544,0.1464
315,0.2429,0.3748,0.1341,0.0581,0.1053,0.0847
316,0.544,0.1155,0.1348,0.053,0.08,0.0728
317,0.0765,0.0392,0.1501,0.4448,0.0615,0.228
318,0.0674,0.0346,0.1227,0.564,0.0515,0.1598
319,0.0636,0.0314,0.1275,0.5725,0.0483,0.1566
320,0.1335,0.0758,0.246,0.0732,0.3183,0.1532
321,0.0676,0.0335,0.139,0.5273,0.0523,0.1803
322,0.0725,0.0359,0.1515,0.4862,0.0564,0.1976
323,0.1243,0.0625,0.1834,0.0435,0.5059,0.0804
324,0.0921,0.0482,0.1819,0.2806,0.0781,0.3191
325,0.0331,0.0167,0.0624,0.7819,0.0252,0.0807
326,0.0767,0.0386,0.1327,0.5491,0.055,0.1479
327,0.0904,0.0471,0.1771,0.3125,0.0754,0.2975
328,0.0913,0.0465,0.1525,0.4744,0.0652,0.1701
329,0.5057,0.1127,0.1537,0.0591,0.0877,0.0812
330,0.345,0.2425,0.1479,0.0512,0.1337,0.0797
331,0.0585,0.0289,0.1151,0.6143,0.0441,0.1391
332,0.0545,0.0274,0.0975,0.667,0.0399,0.1137
333,0.2424,0.3853,0.1309,0.0568,0.1021,0.0825
334,0.0396,0.0198,0.0738,0.7505,0.0293,0.087
335,0.5089,0.1119,0.1529,0.0586,0.0873,0.0805
336,0.2837,0.3114,0.1442,0.066,0.103,0.0918
337,0.0759,0.0389,0.1501,0.4443,0.0611,0.2297
338,0.0609,0.0302,0.1131,0.6233,0.0445,0.1281
339,0.0828,0.0408,0.1492,0.5094,0.0589,0.1589
340,0.0291,0.0146,0.0558,0.8099,0.0219,0.0687
341,0.2376,0.3889,0.1303,0.052,0.1125,0.0787
342,0.0794,0.039,0.1488,0.514,0.0574,0.1613
343,0.5231,0.1178,0.1423,0.0563,0.0834,0.077
344,0.0754,0.0372,0.1593,0.4599,0.0589,0.2092
345,0.0488,0.0248,0.0916,0.6767,0.0374,0.1208
346,0.0454,0.0226,0.0849,0.7143,0.0335,0.0994
347,0.011,0.0055,0.0207,0.9289,0.0083,0.0256
348,0.0788,0.0388,0.1683,0.4339,0.0616,0.2187
349,0.04,0.0202,0.0752,0.7361,0.0305,0.0979
350,0.0712,0.035,0.1355,0.5543,0.0522,0.1518
351,0.0655,0.0329,0.1337,0.5234,0.0519,0.1926
352,0.1154,0.0589,0.342,0.0679,0.2613,0.1546
353,0.0368,0.0184,0.0688,0.767,0.0273,0.0817
354,0.0944,0.0498,0.1879,0.2386,0.0823,0.347
355,0.0766,0.0377,0.16,0.4671,0.059,0.1997
356,0.0786,0.0387,0.1437,0.5274,0.0564,0.1551
357,0.0461,0.0234,0.0874,0.6915,0.0355,0.1162
358,0.0765,0.0376,0.1432,0.5307,0.0554,0.1565
359,0.1416,0.0831,0.2299,0.0719,0.3299,0.1436
360,0.0638,0.0318,0.1144,0.6151,0.0462,0.1287
361,0.0806,0.04,0.1419,0.5274,0.0572,0.1528
362,0.2231,0.1624,0.1938,0.0666,0.2423,0.1119
363,0.1034,0.0551,0.191,0.2655,0.0869,0.298
364,0.2622,0.2088,0.1769,0.0613,0.1916,0.0993
365,0.0649,0.032,0.1228,0.5933,0.0476,0.1393
366,0.1415,0.0831,0.2288,0.0715,0.3327,0.1424
367,0.5065,0.1013,0.1638,0.0532,0.0971,0.078
368,0.0662,0.033,0.1187,0.6017,0.0478,0.1326
369,0.063,0.0316,0.1116,0.6206,0.0457,0.1275
370,0.2266,0.1652,0.1926,0.0659,0.2393,0.1104
371,0.1955,0.1331,0.2025,0.0689,0.2801,0.1199
372,0.0719,0.0355,0.1477,0.5071,0.0551,0.1828
373,0.0514,0.0259,0.0924,0.6834,0.0378,0.109
374,0.0999,0.0528,0.1831,0.3076,0.0818,0.2747
375,0.2847,0.1572,0.1904,0.0585,0.2131,0.0962
376,0.1415,0.0824,0.2434,0.078,0.2943,0.1603
377,0.2421,0.4031,0.1254,0.0544,0.0965,0.0786
378,0.1051,0.0563,0.1952,0.2413,0.09,0.3121
379,0.5359,0.1259,0.1321,0.0533,0.0799,0.0729
380,0.1052,0.0538,0.1694,0.4152,0.0738,0.1827
381,0.2105,0.0775,0.3754,0.0765,0.1369,0.1232
382,0.077,0.0397,0.1437,0.4777,0.0604,0.2015
383,0.5364,0.123,0.1335,0.0536,0.0802,0.0733
384,0.1128,0.0577,0.1776,0.3868,0.078,0.1871
385,0.5282,0.1266,0.1349,0.0547,0.0812,0.0746
386,0.0759,0.0391,0.1407,0.4913,0.0592,0.1938
387,0.5466,0.1235,0.1289,0.0518,0.0782,0.071
388,0.0608,0.03,0.1175,0.6094,0.0452,0.1371
389,0.2518,0.1103,0.2297,0.0594,0.2479,0.1009
390,0.0679,0.0348,0.1256,0.5508,0.0524,0.1685
391,0.0963,0.0507,0.1856,0.2733,0.0815,0.3126
392,0.0603,0.0302,0.1077,0.6349,0.0438,0.123
393,0.5354,0.1241,0.1333,0.0537,0.0802,0.0734
394,0.2853,0.3418,0.132,0.0486,0.1175,0.0748
395,0.5626,0.1194,0.1245,0.0495,0.0758,0.0682
396,0.192,0.0726,0.4017,0.0775,0.1307,0.1255
397,0.5198,0.14,0.1313,0.0541,0.081,0.0739
398,0.4782,0.1247,0.1562,0.0486,0.1174,0.075
399,0.0846,0.0419,0.1487,0.5069,0.0598,0.1581
